,flux,flux_err,lum,lum_err,radius,radius_err,temp,temp_err,jd,band,sub,site,phase,filter
83,2.569258142938388e-17,2.514669732963317e-17,,,,,,,2459078.8753935,B,True,88,84.24539350019768,B
84,2.5023847621532002e-17,2.5123369517735767e-17,,,,,,,2459079.8753935,B,True,88,85.24539350019768,B
85,2.503624033205861e-17,2.5181582496562368e-17,,,,,,,2459080.8753935,B,True,88,86.24539350019768,B
86,2.5207224241516878e-17,2.541840059815877e-17,,,,,,,2459081.8753935,B,True,88,87.24539350019768,B
87,2.4848447536879785e-17,2.5877641408723668e-17,,,,,,,2459082.8753935,B,True,88,88.24539350019768,B
88,2.3652727747708122e-17,2.6184976632979842e-17,,,,,,,2459083.8753935,B,True,88,89.24539350019768,B
89,9.712361278372092e-17,3.619069112383243e-18,,,,,,,2458995.8753935,g,True,88,1.2453935001976788,g
90,1.6526559860336631e-16,2.4022346085597767e-18,,,,,,,2458996.8753935,g,True,88,2.245393500197679,g
91,2.5098257105227795e-16,2.3751644081124586e-18,,,,,,,2458997.8753935,g,True,88,3.245393500197679,g
92,3.407533346550396e-16,3.648128566355791e-18,,,,,,,2458998.8753935,g,True,88,4.245393500197679,g
93,4.186980997954688e-16,4.758668105324454e-18,,,,,,,2458999.8753935,g,True,88,5.245393500197679,g
94,4.744026430104721e-16,5.93306827208467e-18,,,,,,,2459000.8753935,g,True,88,6.245393500197679,g
95,5.037864635981907e-16,7.615455196130576e-18,,,,,,,2459001.8753935,g,True,88,7.245393500197679,g
96,5.100678310065218e-16,9.328580812048837e-18,,,,,,,2459002.8753935,g,True,88,8.245393500197679,g
97,5.00582871478509e-16,1.0565674367533466e-17,,,,,,,2459003.8753935,g,True,88,9.245393500197679,g
98,4.818208128212079e-16,1.0820705108408056e-17,,,,,,,2459004.8753935,g,True,88,10.245393500197679,g
99,4.578903102000122e-16,9.937051193671605e-18,,,,,,,2459005.8753935,g,True,88,11.245393500197679,g
100,4.3083563010224684e-16,8.222383707514423e-18,,,,,,,2459006.8753935,g,True,88,12.245393500197679,g
101,4.01405982646619e-16,6.596639484964025e-18,,,,,,,2459007.8753935,g,True,88,13.245393500197679,g
102,3.695929526468383e-16,5.873222257242599e-18,,,,,,,2459008.8753935,g,True,88,14.245393500197679,g
103,3.3502946337919883e-16,4.736612345583116e-18,,,,,,,2459009.8753935,g,True,88,15.245393500197679,g
104,2.9770040772996347e-16,3.1623185535458818e-18,,,,,,,2459010.8753935,g,True,88,16.24539350019768,g
105,2.594324736743216e-16,3.049464228851604e-18,,,,,,,2459011.8753935,g,True,88,17.24539350019768,g
106,2.2535593085249917e-16,2.972310344845543e-18,,,,,,,2459012.8753935,g,True,88,18.24539350019768,g
107,1.994662360027317e-16,3.4718641814176826e-18,,,,,,,2459013.8753935,g,True,88,19.24539350019768,g
108,1.8001645586288876e-16,4.385490982918146e-18,,,,,,,2459014.8753935,g,True,88,20.24539350019768,g
109,1.6418549762476603e-16,4.688867227238137e-18,,,,,,,2459015.8753935,g,True,88,21.24539350019768,g
110,1.511639289100213e-16,3.8844598112667755e-18,,,,,,,2459016.8753935,g,True,88,22.24539350019768,g
111,1.4085430573832534e-16,2.5502764103774722e-18,,,,,,,2459017.8753935,g,True,88,23.24539350019768,g
112,1.3258202490279462e-16,3.566461985648168e-18,,,,,,,2459018.8753935,g,True,88,24.24539350019768,g
113,1.2495832880552624e-16,4.7963353887242784e-18,,,,,,,2459019.8753935,g,True,88,25.24539350019768,g
114,1.1614151901449828e-16,4.816588444525692e-18,,,,,,,2459020.8753935,g,True,88,26.24539350019768,g
115,1.0637965986300176e-16,4.300631919385551e-18,,,,,,,2459021.8753935,g,True,88,27.24539350019768,g
116,9.731382010397516e-17,4.589102574357432e-18,,,,,,,2459022.8753935,g,True,88,28.24539350019768,g
117,9.001619599175286e-17,5.2581356367539985e-18,,,,,,,2459023.8753935,g,True,88,29.24539350019768,g
118,8.523148534930088e-17,5.435662151799353e-18,,,,,,,2459024.8753935,g,True,88,30.24539350019768,g
119,8.24132490269966e-17,5.1275849626979656e-18,,,,,,,2459025.8753935,g,True,88,31.24539350019768,g
120,7.92856799026716e-17,4.9905671992920815e-18,,,,,,,2459026.8753935,g,True,88,32.24539350019768,g
121,7.402879465151029e-17,5.59729029614856e-18,,,,,,,2459027.8753935,g,True,88,33.24539350019768,g
122,6.721875741400343e-17,6.713340855048445e-18,,,,,,,2459028.8753935,g,True,88,34.24539350019768,g
123,6.051748644374122e-17,8.306378324244634e-18,,,,,,,2459029.8753935,g,True,88,35.24539350019768,g
124,5.5145436827795354e-17,1.0851861032914213e-17,,,,,,,2459030.8753935,g,True,88,36.24539350019768,g
125,5.162152880323938e-17,1.4732463694634726e-17,,,,,,,2459031.8753935,g,True,88,37.24539350019768,g
126,4.985867001120054e-17,1.890629778288085e-17,,,,,,,2459032.8753935,g,True,88,38.24539350019768,g
127,4.9398239867836705e-17,2.1766260072717468e-17,,,,,,,2459033.8753935,g,True,88,39.24539350019768,g
128,4.9631616721285254e-17,2.2199992744220465e-17,,,,,,,2459034.8753935,g,True,88,40.24539350019768,g
129,4.9947572129556283e-17,1.9781525371022818e-17,,,,,,,2459035.8753935,g,True,88,41.24539350019768,g
130,4.986105159074669e-17,1.4761214419529348e-17,,,,,,,2459036.8753935,g,True,88,42.24539350019768,g
131,4.911376739990377e-17,8.07205175900495e-18,,,,,,,2459037.8753935,g,True,88,43.24539350019768,g
132,4.76617300654841e-17,1.9758368201517853e-18,,,,,,,2459038.8753935,g,True,88,44.24539350019768,g
133,4.563767856929788e-17,4.735466000229728e-18,,,,,,,2459039.8753935,g,True,88,45.24539350019768,g
134,4.343965939897037e-17,7.060076708655184e-18,,,,,,,2459040.8753935,g,True,88,46.24539350019768,g
135,4.187437925147558e-17,7.598533904697819e-18,,,,,,,2459041.8753935,g,True,88,47.24539350019768,g
136,4.1563631055207005e-17,8.269040952072424e-18,,,,,,,2459042.8753935,g,True,88,48.24539350019768,g
137,4.2211901285451356e-17,9.084031218570396e-18,,,,,,,2459043.8753935,g,True,88,49.24539350019768,g
138,4.291473480519608e-17,9.381090430301533e-18,,,,,,,2459044.8753935,g,True,88,50.24539350019768,g
139,4.294404460209536e-17,9.123373699278022e-18,,,,,,,2459045.8753935,g,True,88,51.24539350019768,g
140,4.228432882931005e-17,7.687736191334552e-18,,,,,,,2459046.8753935,g,True,88,52.24539350019768,g
141,4.1347297674335927e-17,4.693210838753528e-18,,,,,,,2459047.8753935,g,True,88,53.24539350019768,g
142,4.031272857754778e-17,1.3686715930815117e-18,,,,,,,2459048.8753935,g,True,88,54.24539350019768,g
143,3.890679926994923e-17,3.2997816913859627e-18,,,,,,,2459049.8753935,g,True,88,55.24539350019768,g
144,3.731548851229453e-17,4.9383216970422574e-18,,,,,,,2459050.8753935,g,True,88,56.24539350019768,g
145,3.613181653161865e-17,5.130896307805281e-18,,,,,,,2459051.8753935,g,True,88,57.24539350019768,g
146,3.523091291689392e-17,4.635207770482661e-18,,,,,,,2459052.8753935,g,True,88,58.24539350019768,g
147,3.449685186379341e-17,4.258825124981456e-18,,,,,,,2459053.8753935,g,True,88,59.24539350019768,g
148,3.431678937503684e-17,4.5841581019037794e-18,,,,,,,2459054.8753935,g,True,88,60.24539350019768,g
149,3.4709572933068907e-17,4.849445852664046e-18,,,,,,,2459055.8753935,g,True,88,61.24539350019768,g
150,3.542356136619624e-17,4.9711497252972464e-18,,,,,,,2459056.8753935,g,True,88,62.24539350019768,g
151,3.624056778903981e-17,7.116054623033625e-18,,,,,,,2459057.8753935,g,True,88,63.24539350019768,g
152,3.671645655832851e-17,1.2259467318730188e-17,,,,,,,2459058.8753935,g,True,88,64.24539350019768,g
153,3.6487867127325097e-17,1.8674096724322198e-17,,,,,,,2459059.8753935,g,True,88,65.24539350019768,g
154,3.5471907725739e-17,2.4571022255669204e-17,,,,,,,2459060.8753935,g,True,88,66.24539350019768,g
155,3.379441747060437e-17,2.8711806249838823e-17,,,,,,,2459061.8753935,g,True,88,67.24539350019768,g
156,3.171104189761293e-17,3.0370993333280135e-17,,,,,,,2459062.8753935,g,True,88,68.24539350019768,g
157,2.95400843091028e-17,2.9290352520232454e-17,,,,,,,2459063.8753935,g,True,88,69.24539350019768,g
158,2.760539065069832e-17,2.5648610322250452e-17,,,,,,,2459064.8753935,g,True,88,70.24539350019768,g
159,2.6182951087566507e-17,2.0059644428019568e-17,,,,,,,2459065.8753935,g,True,88,71.24539350019768,g
160,2.5459901132802606e-17,1.3612814993274396e-17,,,,,,,2459066.8753935,g,True,88,72.24539350019768,g
161,2.5471429635570346e-17,7.920502287357073e-18,,,,,,,2459067.8753935,g,True,88,73.24539350019768,g
162,2.5986570070642065e-17,4.880892083625676e-18,,,,,,,2459068.8753935,g,True,88,74.24539350019768,g
163,2.659124247983522e-17,4.7195981819688316e-18,,,,,,,2459069.8753935,g,True,88,75.24539350019768,g
164,2.730413770987895e-17,5.408234433385151e-18,,,,,,,2459070.8753935,g,True,88,76.24539350019768,g
165,2.835245892864946e-17,5.977099867120704e-18,,,,,,,2459071.8753935,g,True,88,77.24539350019768,g
166,2.926258735479366e-17,5.849138972564939e-18,,,,,,,2459072.8753935,g,True,88,78.24539350019768,g
167,2.9578565563031695e-17,5.23978564210921e-18,,,,,,,2459073.8753935,g,True,88,79.24539350019768,g
168,2.949607552546124e-17,4.9050841609385496e-18,,,,,,,2459074.8753935,g,True,88,80.24539350019768,g
169,2.9114642108284094e-17,5.343448741750355e-18,,,,,,,2459075.8753935,g,True,88,81.24539350019768,g
170,2.834645580217489e-17,5.7782183258498594e-18,,,,,,,2459076.8753935,g,True,88,82.24539350019768,g
171,2.7193937832957108e-17,5.5068552182471824e-18,,,,,,,2459077.8753935,g,True,88,83.24539350019768,g
172,2.605821353486409e-17,5.211722677889812e-18,,,,,,,2459078.8753935,g,True,88,84.24539350019768,g
173,2.556516861850156e-17,5.271169768285152e-18,,,,,,,2459079.8753935,g,True,88,85.24539350019768,g
174,2.584208110182633e-17,5.422217440736987e-18,,,,,,,2459080.8753935,g,True,88,86.24539350019768,g
175,2.6346881182506158e-17,5.9733107812751396e-18,,,,,,,2459081.8753935,g,True,88,87.24539350019768,g
176,2.6268159503657896e-17,7.194165515254557e-18,,,,,,,2459082.8753935,g,True,88,88.24539350019768,g
177,2.512200851817053e-17,7.760656668968667e-18,,,,,,,2459083.8753935,g,True,88,89.24539350019768,g
178,8.09130503799133e-17,5.861194940178059e-18,,,,,,,2458995.8753935,V,True,88,1.2453935001976788,V
179,1.4065540235532362e-16,4.6352223041836964e-18,,,,,,,2458996.8753935,V,True,88,2.245393500197679,V
180,2.1694425558283036e-16,4.157080175840147e-18,,,,,,,2458997.8753935,V,True,88,3.245393500197679,V
181,2.98095314469328e-16,4.4761280655246224e-18,,,,,,,2458998.8753935,V,True,88,4.245393500197679,V
182,3.6981518113509047e-16,4.8668497776687895e-18,,,,,,,2458999.8753935,V,True,88,5.245393500197679,V
183,4.227024135428691e-16,5.57231945852772e-18,,,,,,,2459000.8753935,V,True,88,6.245393500197679,V
184,4.533496259289104e-16,6.7633136817345625e-18,,,,,,,2459001.8753935,V,True,88,7.245393500197679,V
185,4.654861381881979e-16,7.951363553086055e-18,,,,,,,2459002.8753935,V,True,88,8.245393500197679,V
186,4.664450280580158e-16,9.050588213729274e-18,,,,,,,2459003.8753935,V,True,88,9.245393500197679,V
187,4.617109820464311e-16,9.624078737822023e-18,,,,,,,2459004.8753935,V,True,88,10.245393500197679,V
188,4.536003290892879e-16,9.346415991433616e-18,,,,,,,2459005.8753935,V,True,88,11.245393500197679,V
189,4.421073190583768e-16,8.314933967559395e-18,,,,,,,2459006.8753935,V,True,88,12.245393500197679,V
190,4.2626007065920573e-16,7.177431887820354e-18,,,,,,,2459007.8753935,V,True,88,13.245393500197679,V
191,4.0513850510068694e-16,6.6257892398318365e-18,,,,,,,2459008.8753935,V,True,88,14.245393500197679,V
192,3.7852776215077815e-16,5.74915788079729e-18,,,,,,,2459009.8753935,V,True,88,15.245393500197679,V
193,3.471368321626564e-16,4.7662700330066134e-18,,,,,,,2459010.8753935,V,True,88,16.24539350019768,V
194,3.132433985572111e-16,4.8735138071235075e-18,,,,,,,2459011.8753935,V,True,88,17.24539350019768,V
195,2.8170377297877697e-16,4.6825543892965075e-18,,,,,,,2459012.8753935,V,True,88,18.24539350019768,V
196,2.560856040756354e-16,4.311251338733638e-18,,,,,,,2459013.8753935,V,True,88,19.24539350019768,V
197,2.347557927760697e-16,4.6687524412850314e-18,,,,,,,2459014.8753935,V,True,88,20.24539350019768,V
198,2.154081107784104e-16,5.0378994041753504e-18,,,,,,,2459015.8753935,V,True,88,21.24539350019768,V
199,1.980687376619409e-16,4.44922566143079e-18,,,,,,,2459016.8753935,V,True,88,22.24539350019768,V
200,1.8371675731903407e-16,3.372874304534959e-18,,,,,,,2459017.8753935,V,True,88,23.24539350019768,V
201,1.7239550694751986e-16,4.084463798053617e-18,,,,,,,2459018.8753935,V,True,88,24.24539350019768,V
202,1.625791898132878e-16,4.956251432043216e-18,,,,,,,2459019.8753935,V,True,88,25.24539350019768,V
203,1.5215638394008499e-16,4.681559916701147e-18,,,,,,,2459020.8753935,V,True,88,26.24539350019768,V
204,1.4157316866624062e-16,4.08363240637182e-18,,,,,,,2459021.8753935,V,True,88,27.24539350019768,V
205,1.327251830537652e-16,4.820858416783813e-18,,,,,,,2459022.8753935,V,True,88,28.24539350019768,V
206,1.2624960370134124e-16,6.017571357388937e-18,,,,,,,2459023.8753935,V,True,88,29.24539350019768,V
207,1.2198712641843796e-16,6.6244496035097255e-18,,,,,,,2459024.8753935,V,True,88,30.24539350019768,V
208,1.1856229887613963e-16,6.697330554637961e-18,,,,,,,2459025.8753935,V,True,88,31.24539350019768,V
209,1.1343260294219852e-16,6.896473864952476e-18,,,,,,,2459026.8753935,V,True,88,32.24539350019768,V
210,1.0525652285420903e-16,7.772817532502618e-18,,,,,,,2459027.8753935,V,True,88,33.24539350019768,V
211,9.528488201633332e-17,9.267656955811229e-18,,,,,,,2459028.8753935,V,True,88,34.24539350019768,V
212,8.559563643263902e-17,1.1463955231968395e-17,,,,,,,2459029.8753935,V,True,88,35.24539350019768,V
213,7.754896581312232e-17,1.443768271988485e-17,,,,,,,2459030.8753935,V,True,88,36.24539350019768,V
214,7.164663669464788e-17,1.807837803599674e-17,,,,,,,2459031.8753935,V,True,88,37.24539350019768,V
215,6.77358746622907e-17,2.156405436362707e-17,,,,,,,2459032.8753935,V,True,88,38.24539350019768,V
216,6.530983165219966e-17,2.3663449785090048e-17,,,,,,,2459033.8753935,V,True,88,39.24539350019768,V
217,6.375030551375704e-17,2.3471375999843256e-17,,,,,,,2459034.8753935,V,True,88,40.24539350019768,V
218,6.248846365288847e-17,2.0678058248796705e-17,,,,,,,2459035.8753935,V,True,88,41.24539350019768,V
219,6.116039943943662e-17,1.5602497485165718e-17,,,,,,,2459036.8753935,V,True,88,42.24539350019768,V
220,5.97083574822427e-17,9.268220645154104e-18,,,,,,,2459037.8753935,V,True,88,43.24539350019768,V
221,5.823600815357304e-17,4.363100350646869e-18,,,,,,,2459038.8753935,V,True,88,44.24539350019768,V
222,5.675276199086549e-17,5.570135043745124e-18,,,,,,,2459039.8753935,V,True,88,45.24539350019768,V
223,5.517557857304189e-17,7.534131098167574e-18,,,,,,,2459040.8753935,V,True,88,46.24539350019768,V
224,5.3831741672317146e-17,8.426221809821401e-18,,,,,,,2459041.8753935,V,True,88,47.24539350019768,V
225,5.3109387689591435e-17,9.768327684573695e-18,,,,,,,2459042.8753935,V,True,88,48.24539350019768,V
226,5.27674989653941e-17,1.1235089884381578e-17,,,,,,,2459043.8753935,V,True,88,49.24539350019768,V
227,5.215404550600664e-17,1.1842705423515429e-17,,,,,,,2459044.8753935,V,True,88,50.24539350019768,V
228,5.085693275399616e-17,1.1293947432711421e-17,,,,,,,2459045.8753935,V,True,88,51.24539350019768,V
229,4.9136087997527816e-17,9.246441547877797e-18,,,,,,,2459046.8753935,V,True,88,52.24539350019768,V
230,4.7602099309132096e-17,5.839110698943616e-18,,,,,,,2459047.8753935,V,True,88,53.24539350019768,V
231,4.654110226322492e-17,3.0585031724771173e-18,,,,,,,2459048.8753935,V,True,88,54.24539350019768,V
232,4.561522946905309e-17,4.3839283356179744e-18,,,,,,,2459049.8753935,V,True,88,55.24539350019768,V
233,4.4695914067296065e-17,6.027369642065062e-18,,,,,,,2459050.8753935,V,True,88,56.24539350019768,V
234,4.406222703795742e-17,6.903432881384964e-18,,,,,,,2459051.8753935,V,True,88,57.24539350019768,V
235,4.339579384080053e-17,7.460801032182999e-18,,,,,,,2459052.8753935,V,True,88,58.24539350019768,V
236,4.251239623208184e-17,8.001835359421055e-18,,,,,,,2459053.8753935,V,True,88,59.24539350019768,V
237,4.182592149760314e-17,8.759326574328232e-18,,,,,,,2459054.8753935,V,True,88,60.24539350019768,V
238,4.149461506599534e-17,9.416880670473137e-18,,,,,,,2459055.8753935,V,True,88,61.24539350019768,V
239,4.144578160097552e-17,9.914315732386664e-18,,,,,,,2459056.8753935,V,True,88,62.24539350019768,V
240,4.158465177161261e-17,1.1331919361398769e-17,,,,,,,2459057.8753935,V,True,88,63.24539350019768,V
241,4.14946375841428e-17,1.5009299004947912e-17,,,,,,,2459058.8753935,V,True,88,64.24539350019768,V
242,4.078952264479166e-17,2.0326545329273745e-17,,,,,,,2459059.8753935,V,True,88,65.24539350019768,V
243,3.936424145081058e-17,2.5530153768084558e-17,,,,,,,2459060.8753935,V,True,88,66.24539350019768,V
244,3.734679639964583e-17,2.9234265615925584e-17,,,,,,,2459061.8753935,V,True,88,67.24539350019768,V
245,3.501355795852218e-17,3.0660060547956587e-17,,,,,,,2459062.8753935,V,True,88,68.24539350019768,V
246,3.2703922313463556e-17,2.957505741529211e-17,,,,,,,2459063.8753935,V,True,88,69.24539350019768,V
247,3.074458275980528e-17,2.622132202752837e-17,,,,,,,2459064.8753935,V,True,88,70.24539350019768,V
248,2.938400435803243e-17,2.130319805911309e-17,,,,,,,2459065.8753935,V,True,88,71.24539350019768,V
249,2.8767347960570566e-17,1.6108544327945228e-17,,,,,,,2459066.8753935,V,True,88,72.24539350019768,V
250,2.890370930961684e-17,1.2451996089178898e-17,,,,,,,2459067.8753935,V,True,88,73.24539350019768,V
251,2.9585636151589485e-17,1.1240695807930576e-17,,,,,,,2459068.8753935,V,True,88,74.24539350019768,V
