,mag,mag_err,jd,band,sub,site,phase,filter
0,19.7365269091397,1.069236602619744,2458232.8518981,i,True,0,-761.7781018996611,i
1,18.54521993180344,0.4212101201132562,2458249.8166319,i,True,0,-744.8133680997416,i
2,19.845949304312384,3.0746938403851587,2458272.8598727,i,True,0,-721.7701272997074,i
3,19.86666712728061,-3.2350906596809623,2458277.8109144,i,True,0,-716.8190855998546,i
4,19.826761892677496,-10.867288993448964,2458281.8108912,i,True,0,-712.8191088000312,i
5,19.640197381245866,0.7010286166207921,2458290.6767245,i,True,0,-703.9532754998654,i
6,19.57865939347175,-3.666619148104457,2458294.8414468,i,True,0,-699.7885531997308,i
7,18.46424307665465,-1.0805256039017634,2458308.6834954,i,True,0,-685.9465045998804,i
8,19.72074899391997,-3.323630644210179,2458312.677963,i,True,0,-681.9520370000973,i
9,19.70506223995764,0.6819528546333948,2458320.7472569,i,True,0,-673.8827430997044,i
10,19.364591740644155,-3.138093968289486,2458325.8116204,i,True,0,-668.8183796000667,i
11,19.593834410666616,0.5581234086103384,2458331.8276852,i,True,0,-662.8023147997446,i
12,19.56789417641148,-5.77752576738125,2458338.6530093,i,True,0,-655.9769906997681,i
13,19.195942800614475,-4.413855226727232,2458342.8629514,i,True,0,-651.7670485996641,i
14,19.64598033347381,-1.0309737794379883,2458345.6639699,i,True,0,-648.9660300998949,i
15,19.06183585753111,0.6354535879090213,2458347.8602662,i,True,0,-646.7697338000871,i
16,19.535934789767627,2.1132202150039943,2458366.7817361,i,True,0,-627.8482638997957,i
17,19.22292955004097,0.4713697996495302,2458371.7815509,i,True,0,-622.8484490998089,i
18,19.98731197922484,-2.0297072108012286,2458379.6422569,i,True,0,-614.9877430996858,i
19,19.18564480244381,6.214169123399395,2458539.0594097,i,True,0,-455.57059030001983,i
20,18.842125317331067,-1.7316114989845917,2458544.0533565,i,True,0,-450.5766435000114,i
21,19.550949552012973,1.3300067185429283,2458557.0369676,i,True,0,-437.5930323996581,i
22,19.48367885623054,-1.0060463774463966,2458568.9684722,i,True,0,-425.6615277999081,i
23,19.39439658883472,-28.173220713849425,2458572.9010417,i,True,0,-421.7289582998492,i
24,19.5520805084246,-4.544225728100748,2458582.0079745,i,True,0,-412.6220255000517,i
25,19.67346086670227,-1.7889498351142994,2458587.0089931,i,True,0,-407.62100689997897,i
26,19.68760876896573,2.0250370535443567,2458596.8954398,i,True,0,-397.7345602000132,i
27,19.449249428685167,-35.034577787935845,2458605.9665625,i,True,0,-388.6634374996647,i
28,19.40356036609172,-49.73352778684434,2458616.8195602,i,True,0,-377.8104397999123,i
29,19.33349430619492,-4.47641618804563,2458627.9534606,i,True,0,-366.6765393996611,i
30,19.555602374103863,1.2666897796451524,2458633.7751968,i,True,0,-360.8548031998798,i
31,19.55023011229797,2.109556896097468,2458637.7830208,i,True,0,-356.8469791999087,i
32,19.57925688500389,965.8330954366628,2458641.7651852,i,True,0,-352.86481479974464,i
33,19.61689543385356,-2.7539117705945366,2458645.7576968,i,True,0,-348.87230319995433,i
34,19.459051008649205,1.0944303618875275,2458652.7569097,i,True,0,-341.8730902997777,i
35,19.54738442373455,4.140008169738169,2458659.6804167,i,True,0,-334.9495832999237,i
36,19.55217928513948,3.853190025150109,2458663.6840046,i,True,0,-330.9459953997284,i
37,19.54226982844828,1.9458792546580483,2458667.6798495,i,True,0,-326.9501505000517,i
38,19.48293721784136,2.242267222790728,2458671.6812384,i,True,0,-322.9487616000697,i
39,19.386916531634583,-3.578178456834938,2458675.7175579,i,True,0,-318.91244209976867,i
40,19.562763369873327,2.0851115011011685,2458679.7561227,i,True,0,-314.8738772999495,i
41,19.55783437457829,0.7596095619640135,2458688.844456,i,True,0,-305.78554400010034,i
42,19.43819202314073,-1.0617680027163008,2458692.8077083,i,True,0,-301.8222916997038,i
