,name,wave_eff,magsys,zp,plot_shift,plot_color,svo_name,ext
0,B,4296.170906106321,AB,5.93106568147326e-09,0,,APASS.B,0.21130188977338413
1,V,5394.2211363869865,AB,3.7066494660721868e-09,0,,APASS.V,0.15862225666343552
2,R,6329.585953004767,AB,2.6603748884130226e-09,0,,ALFOSC.Bes_R,0.1266597346054401
