,name,wave_eff,magsys,zp,plot_shift,plot_color,svo_name,ext
0,B,4296.170906106321,AB,5.93106568147326e-09,0.0,,APASS.B,0.18099729654458838
1,V,5394.2211363869865,AB,3.7066494660721868e-09,0.0,,APASS.V,0.13587289568812944
2,g,4774.791898432863,AB,4.696880334223969e-09,0.0,,PS1.g,0.1614097454658443
3,r,6128.631245688767,AB,2.855422816832542e-09,0.0,,PS1.r,0.11370742123118195
4,i,7483.945969248003,AB,1.9270878389827396e-09,0.0,,PS1.i,0.08348838456118653
