,mag,mag_err,jd,band,filter,phase,sub,site
0,19.7365269091397,1.069236602619744,2458232.8518981,i,i,-738.7870489367494,True,0
1,18.54521993180344,0.4212101201132562,2458249.8166319,i,i,-722.3343239387672,True,0
2,19.845949304312384,3.0746938403851587,2458272.8598727,i,i,-699.9865459885439,True,0
3,19.86666712728061,-3.2350906596809623,2458277.8109144,i,i,-695.1849305608024,True,0
4,19.826761892677496,-10.867288993448964,2458281.8108912,i,i,-691.3056761579944,True,0
5,19.640197381245866,0.7010286166207921,2458290.6767245,i,i,-682.7074205716749,True,0
6,19.57865939347175,-3.666619148104457,2458294.8414468,i,i,-678.668392815318,True,0
7,18.46424307665465,-1.0805256039017634,2458308.6834954,i,i,-665.2441079601602,True,0
8,19.72074899391997,-3.323630644210179,2458312.677963,i,i,-661.3701964854695,True,0
9,19.70506223995764,0.6819528546333948,2458320.7472569,i,i,-653.5444401230743,True,0
10,19.364591740644155,-3.138093968289486,2458325.8116204,i,i,-648.6329230352109,True,0
11,19.593834410666616,0.5581234086103384,2458331.8276852,i,i,-642.7984277288236,True,0
12,19.56789417641148,-5.77752576738125,2458338.6530093,i,i,-636.1790971950578,True,0
13,19.195942800614475,-4.413855226727232,2458342.8629514,i,i,-632.0962144073087,True,0
14,19.645980333473812,-1.0309737794379883,2458345.6639699,i,i,-629.3797328147014,True,0
15,19.06183585753111,0.6354535879090213,2458347.8602662,i,i,-627.2497224378221,True,0
16,19.535934789767627,2.1132202150039943,2458366.7817361,i,i,-608.899317150085,True,0
17,19.22292955004097,0.4713697996495302,2458371.7815509,i,i,-604.0504006321368,True,0
18,19.98731197922484,-2.0297072108012286,2458379.6422569,i,i,-596.4269368256709,True,0
19,19.18564480244381,6.214169123399395,2458539.0594097,i,i,-441.8211171347853,True,0
20,18.842125317331067,-1.7316114989845917,2458544.0533565,i,i,-436.97789151603246,True,0
21,19.550949552012973,1.3300067185429283,2458557.0369676,i,i,-424.38613585194554,True,0
22,19.48367885623054,-1.0060463774463966,2458568.9684722,i,i,-412.81473329962375,True,0
23,19.39439658883472,-28.173220713849425,2458572.9010417,i,i,-409.00085179207963,True,0
24,19.5520805084246,-4.544225728100748,2458582.0079745,i,i,-400.16877327571154,True,0
25,19.67346086670227,-1.7889498351142994,2458587.0089931,i,i,-395.31868928929606,True,0
26,19.68760876896573,2.0250370535443567,2458596.8954398,i,i,-385.7306232058472,True,0
27,19.449249428685167,-35.034577787935845,2458605.9665625,i,i,-376.93327401239884,True,0
28,19.403560366091718,-49.73352778684434,2458616.8195602,i,i,-366.40782818674086,True,0
29,19.33349430619492,-4.47641618804563,2458627.9534606,i,i,-355.60995752158925,True,0
30,19.555602374103863,1.2666897796451524,2458633.7751968,i,i,-349.96392582810904,True,0
31,19.550230112297974,2.109556896097468,2458637.7830208,i,i,-346.0770610597299,True,0
32,19.57925688500389,965.8330954366628,2458641.7651852,i,i,-342.2150814645673,True,0
33,19.61689543385356,-2.7539117705945366,2458645.7576968,i,i,-338.34306695627504,True,0
34,19.459051008649205,1.0944303618875275,2458652.7569097,i,i,-331.55509572094195,True,0
35,19.54738442373455,4.140008169738169,2458659.6804167,i,i,-324.84054552324045,True,0
36,19.55217928513948,3.853190025150109,2458663.6840046,i,i,-320.95778900586583,True,0
37,19.54226982844828,1.9458792546580483,2458667.6798495,i,i,-317.0825417992587,True,0
38,19.482937217841357,2.242267222790728,2458671.6812384,i,i,-313.2019179145683,True,0
39,19.386916531634583,-3.578178456834938,2458675.7175579,i,i,-309.2874176621234,True,0
40,19.562763369873327,2.0851115011011685,2458679.7561227,i,i,-305.37073987503834,True,0
41,19.55783437457829,0.7596095619640135,2458688.844456,i,i,-296.5566995113084,True,0
42,19.43819202314073,-1.0617680027163008,2458692.8077083,i,i,-292.71306123409863,True,0
43,19.435804978716604,-8.091365867170412,2458703.6612847,i,i,-282.1870541739586,True,0
44,19.390354062800803,16.238465327147328,2458710.7414236,i,i,-275.32059934828203,True,0
45,19.34362166332961,-5.114204885433906,2458719.6478356,i,i,-266.68298975841645,True,0
46,19.60252112378136,-3.2077129976766527,2458725.7275579,i,i,-260.78675818526665,True,0
47,19.488361703518063,4.05642166988183,2458733.6419676,i,i,-253.11121149786322,True,0
48,19.280809896152974,1.589213528377647,2458751.6191204,i,i,-235.6766230894124,True,0
49,19.536782527243368,4.680698386835978,2458954.8655787,i,i,-38.56430027545896,True,0
50,19.696923751248903,-1320.3082483217768,2458962.9084144,i,i,-30.76420358416632,True,0
51,19.553029295846045,-12.280203936134573,2458966.9854282,i,i,-26.810237217573995,True,0
52,19.58676436926855,3.3908552422461176,2458971.962419,i,i,-21.98345585373153,True,0
53,19.418272649259944,-1.8703510035280468,2458981.8548958,i,i,-12.389541663435686,True,0
54,19.52884068333838,1.891937411153069,2458985.8515625,i,i,-8.513497458965242,True,0
55,19.55711436799799,11.435895300338483,2458991.8724653,i,i,-2.67431016756553,True,0
56,19.26973029137281,0.4431105339801967,2459085.7841782,i,i,88.40307452119016,True,0
57,19.386058941801625,0.4778627071905671,2459089.6677778,i,i,92.16946407800543,True,0
58,19.3430038928244,0.4127949496762644,2459093.7387037,i,i,96.11752628199845,True,0
59,20.725367352137248,-2.3344802303168697,2458203.9970255,g,g,-766.7710591394178,True,0
60,20.353859525689728,-3.9303971964969113,2458204.9470833,g,g,-765.849674819525,True,0
61,21.063042294264363,4.601871990301822,2458204.9688194,g,g,-765.8285947319985,True,0
62,21.08511351535219,2.022012606148878,2458204.9740972,g,g,-765.8234762197267,True,0
63,20.885235364272827,-0.7789767213456378,2458204.9854514,g,g,-765.8124646986519,True,0
64,20.93787620716715,-1.1183400798933998,2458204.9864005,g,g,-765.811544243103,True,0
65,20.888248503048928,-15.945850418290227,2458205.0114468,g,g,-765.7872538596916,True,0
66,20.729822516947287,-1.5342719503424662,2458205.9677662,g,g,-764.8597969195592,True,0
67,20.539886210954197,-0.5712221662940273,2458205.9917361,g,g,-764.8365504498341,True,0
68,21.219714566234323,-0.4527070618228513,2458206.0159722,g,g,-764.8130458142975,True,0
69,20.96860740619248,-2.2273857547882026,2458206.0245949,g,g,-764.8046833537221,True,0
70,20.513891944418177,-1.4771003273417287,2458227.837338,g,g,-743.6502657302913,True,0
71,20.53595526043617,4.618061210903149,2458227.8595718,g,g,-743.6287029635606,True,0
72,20.47411466331496,27.6383271658226,2458228.9627778,g,g,-742.5587925750267,True,0
73,20.540893646574737,7.477387453807767,2458228.9981597,g,g,-742.5244785280229,True,0
74,20.885510682863437,1.2531409468818435,2458229.9673495,g,g,-741.5845396267733,True,0
75,20.83662503543121,-0.671229740271769,2458229.9840046,g,g,-741.5683871905449,True,0
76,20.928337280663005,-1.08661663734495,2458229.9849537,g,g,-741.567466734996,True,0
77,20.95522590811499,-2.6108380590960314,2458230.9838657,g,g,-740.5987026725228,True,0
78,20.924625761659204,0.4363246021634915,2458231.8803125,g,g,-739.7293113312053,True,0
