,name,wave_eff,magsys,zp,plot_shift,plot_color,svo_name,ext
0,B,4332.718626922721,AB,5.930997658415017e-09,0.0,,APASS.B,0.17958720438122264
1,V,5465.237348603781,AB,3.706607440915118e-09,0.0,,APASS.V,0.13336066910756245
2,g,4900.139868259429,AB,4.696958653390934e-09,0.0,,PS1.g,0.15592882594500895
3,r,6241.273283958434,AB,2.8554298622642205e-09,0.0,,PS1.r,0.11075296630367336
4,i,7563.767433166502,AB,1.9270657040932895e-09,0.0,,PS1.i,0.08204628657228441
